timestamp_s,reads_attempted,valid_samples,rejected_samples,outlier_count,sample_rate_hz,retained_ratio,summary_count,min_temperature_c,max_temperature_c,mean_temperature_c,median_temperature_c,stddev_temperature_c,source,current_temperature_c,predicted_temperature_c,trend_c_per_s,rate_of_change_c_per_s,likely_hvac_active,likely_heating,likely_cooling,stable
1790290744.000000,61,61,0,17,1.016667,0.163934,10,52.350000,52.350000,52.350000,52.350000,0.000000,cpu,52.350000,52.350000,-0.000000,-0.000000,0,0,0,1
1790291005.000000,61,61,0,29,1.016667,0.163934,10,51.250000,51.250000,51.250000,51.250000,0.000000,cpu,51.250000,51.250000,0.000000,0.000000,0,0,0,1
1790291077.000000,61,61,0,28,1.016667,0.163934,10,51.250000,51.250000,51.250000,51.250000,0.000000,cpu,51.250000,51.250000,0.000000,0.000000,0,0,0,1
1790348253.000000,61,61,0,35,1.016667,0.163934,10,46.300000,46.300000,46.300000,46.300000,0.000000,cpu,46.300000,46.300000,-0.000000,-0.000000,0,0,0,1
1790348313.000000,61,61,0,56,1.016667,0.081967,5,51.250000,52.900000,51.910000,51.800000,0.538888,cpu,51.800000,50.975000,-0.027500,-0.027500,1,0,0,0
1790348425.000000,61,61,0,41,1.016667,0.163934,10,49.050000,49.050000,49.050000,49.050000,0.000000,cpu,49.050000,49.050000,-0.000000,-0.000000,0,0,0,1
1790348485.000000,61,61,0,56,1.016667,0.081967,5,47.950000,49.600000,49.270000,49.600000,0.660000,cpu,49.600000,49.835714,0.007857,0.007857,1,0,0,0
1790348559.000000,61,61,0,34,1.016667,0.163934,10,48.500000,48.500000,48.500000,48.500000,0.000000,cpu,48.500000,48.500000,0.000000,0.000000,0,0,0,1
1790348634.000000,61,61,0,40,1.016667,0.163934,10,48.500000,48.500000,48.500000,48.500000,0.000000,cpu,48.500000,48.500000,0.000000,0.000000,0,0,0,1
1790348697.000000,61,61,0,32,1.016667,0.163934,10,47.950000,47.950000,47.950000,47.950000,0.000000,cpu,47.950000,47.950000,0.000000,0.000000,0,0,0,1
1790348767.000000,61,61,0,35,1.016667,0.163934,10,47.950000,47.950000,47.950000,47.950000,0.000000,cpu,47.950000,47.950000,0.000000,0.000000,0,0,0,1
1790348867.000000,61,61,0,35,1.016667,0.163934,10,47.950000,47.950000,47.950000,47.950000,0.000000,cpu,47.950000,47.950000,0.000000,0.000000,0,0,0,1
